iter	RMSE
0	2362.557342
1	2320.56151
2	2290.814598
3	2253.619889
4	2218.364711
5	2177.039058
6	2144.024851
7	2113.371785
8	2080.108607
9	2049.902787
10	2017.81308
11	1991.186636
12	1961.031813
13	1930.810291
14	1907.51377
15	1884.095759
16	1864.193417
17	1839.593796
18	1821.301043
19	1804.820074
20	1778.006754
21	1756.763881
22	1730.852583
23	1712.759412
24	1689.886284
25	1676.913835
26	1661.357724
27	1647.959155
28	1627.869266
29	1610.556755
30	1599.593762
31	1582.284951
32	1570.265394
33	1557.559676
34	1545.957666
35	1534.621473
36	1521.955969
37	1511.813587
38	1496.577653
39	1483.529773
40	1474.05217
41	1464.515345
42	1451.401
43	1443.971578
44	1436.236173
45	1429.102905
46	1422.067367
47	1412.858726
48	1403.472321
49	1398.716523
50	1388.162889
51	1379.783262
52	1370.742889
53	1363.726833
54	1357.997869
55	1352.117372
56	1348.51717
57	1342.667946
58	1333.072925
59	1327.9323
60	1323.07954
61	1317.950587
62	1311.786591
63	1306.769349
64	1300.985507
65	1296.529588
66	1290.735816
67	1284.614727
68	1281.348309
69	1275.546077
70	1270.930316
71	1266.347226
72	1263.474691
73	1257.501036
74	1252.296121
75	1247.029735
76	1244.027331
77	1241.332071
78	1238.499317
79	1232.663318
80	1227.41241
81	1223.15075
82	1219.820177
83	1216.655214
84	1213.046339
85	1209.072953
86	1206.338319
87	1203.803495
88	1199.464176
89	1196.387061
90	1194.092049
91	1193.601883
92	1191.037243
93	1185.842551
94	1183.547291
95	1182.699151
96	1180.077873
97	1177.600639
98	1175.170133
99	1173.050151
100	1170.435642
101	1167.014805
102	1163.738644
103	1161.761449
104	1159.656836
105	1157.55811
106	1155.949428
107	1153.546377
108	1151.257714
109	1148.879005
110	1147.889286
111	1145.379786
112	1143.321215
113	1140.606238
114	1138.081015
115	1135.884183
116	1134.201402
117	1131.96482
118	1130.085999
119	1128.391147
120	1126.408159
121	1124.964972
122	1123.52687
123	1121.622977
124	1119.109214
125	1117.582424
126	1115.544205
127	1113.545737
128	1111.716091
129	1110.524513
130	1108.254899
131	1106.826478
132	1105.50762
133	1104.370213
134	1101.883499
135	1100.748467
136	1099.556978
137	1097.928931
138	1095.566066
139	1093.445288
140	1091.616918
141	1090.63068
142	1089.02885
143	1088.160887
144	1086.330681
145	1084.316632
146	1082.707565
147	1081.380428
148	1079.0828
149	1077.41651
150	1076.072908
151	1075.01017
152	1073.084423
153	1071.056358
154	1069.757484
155	1068.26378
156	1066.511364
157	1065.482456
158	1063.656378
159	1061.220512
160	1059.737315
161	1058.645287
162	1057.066904
163	1055.523165
164	1053.681457
165	1051.700126
166	1049.811335
167	1048.127968
168	1046.958579
169	1045.241292
170	1043.702628
171	1042.521165
172	1040.771522
173	1038.547323
174	1036.990625
175	1035.108033
176	1033.301268
177	1031.455853
178	1030.445242
179	1029.289666
180	1027.742909
181	1026.494961
182	1024.74636
183	1022.911263
184	1021.768794
185	1020.343579
186	1018.299978
187	1016.935732
188	1015.16448
189	1014.230712
190	1012.996933
191	1011.91477
192	1010.960583
193	1009.316418
194	1008.242072
195	1006.860966
196	1005.468906
197	1004.576489
198	1003.379687
199	1002.32495
200	1001.155042
201	999.3054313
202	997.7654264
203	996.5891333
204	994.9532407
205	993.7009596
206	992.6959341
207	991.4812856
208	990.3589223
209	988.5497625
210	987.6338258
211	986.612525
212	985.6314499
213	984.6598002
214	983.1827862
215	981.9514431
216	980.9677223
217	979.9685485
218	978.9479792
219	977.6270349
220	976.5981943
221	974.0344414
222	972.7847792
223	971.5941251
224	970.9753697
225	970.2221531
226	968.8229566
227	967.745935
228	967.0814177
229	966.1695232
230	965.0189995
231	963.9654116
232	962.8044635
233	961.6130528
234	960.8804957
235	959.6971403
236	958.8400563
237	957.838732
238	957.1503424
239	956.2624638
240	953.8475414
241	952.2005887
242	951.3667935
243	950.3955262
244	949.8397723
245	948.8728559
246	947.6462966
247	947.0474411
248	946.479214
249	945.9934801
250	945.1169521
251	944.4124717
252	942.1388951
253	940.9750085
254	940.0196997
255	938.3286217
256	937.6621782
257	937.2111208
258	936.2343903
259	935.1850939
260	934.3524163
261	933.9407622
262	933.0859163
263	931.5124499
264	930.7388088
265	929.7462252
266	929.2812429
267	928.2845852
268	927.5694303
269	926.9629518
270	926.3553064
271	925.8920009
272	925.4804388
273	924.2229672
274	923.4343976
275	921.281812
276	920.3878728
277	919.6824143
278	918.9157571
279	918.4444427
280	918.0348151
281	916.5635405
282	916.0256594
283	915.6007022
284	914.6834196
285	913.4460691
286	913.060301
287	912.6636901
288	912.1356686
289	911.6375099
290	910.6131592
291	910.2400929
292	909.1386599
293	908.4539426
294	907.3028141
295	906.6160632
296	906.0258786
297	905.6836108
298	904.8440712
299	904.3200654
300	903.9480494
301	903.3589191
302	903.081083
303	902.6391434
304	902.0143343
305	901.307495
306	900.777083
307	898.7451689
308	897.8311288
309	897.2850605
310	895.8048794
311	895.4170413
312	895.0976672
313	894.4501378
314	894.0226087
315	893.6546111
316	892.2948284
317	891.7013483
318	891.2833927
319	890.5945551
320	890.3229579
321	889.679081
322	888.8285074
323	888.4741862
324	887.226005
325	886.3979152
326	885.8186017
327	885.3471465
328	884.6206431
329	884.1775863
330	883.8466783
331	883.4207623
332	883.1417793
333	882.61432
334	882.1333644
335	881.1795889
336	880.4280627
337	879.7451605
338	878.6468932
339	878.1746721
340	877.7743665
341	876.47854
342	875.9177561
343	875.6220682
344	875.3488289
345	875.0232538
346	874.0853851
347	873.5072654
348	873.2529499
349	871.9329765
350	871.2224576
351	870.9947635
352	869.9514045
353	869.1969586
354	868.5901782
355	867.7266712
356	867.430662
357	866.9421098
358	865.7859167
359	865.5338165
360	865.2875054
361	864.8761761
362	864.5894612
363	864.3469888
364	863.750568
365	863.5412516
366	862.9785059
367	862.4521836
368	861.8914632
369	861.6042871
370	861.0633353
371	860.7159394
372	859.6988147
373	859.3736904
374	858.594004
375	857.8385936
376	857.2406559
377	856.5417126
378	856.0949571
379	855.7441704
380	855.1316737
381	854.6702819
382	854.4290374
383	853.5529303
384	852.6245753
385	851.8320303
386	850.2762438
387	849.5607962
388	848.7447528
389	847.9483917
390	847.7342756
391	846.5316376
392	846.1823518
393	845.6726228
394	845.4228247
395	844.669734
396	844.0901366
397	843.6340561
398	843.314103
399	842.998801
400	842.7070319
401	842.4004879
402	841.9848945
403	841.3494445
404	840.5654408
405	840.2931893
406	840.0602261
407	839.2039757
408	838.3659753
409	838.0227259
410	837.724595
411	836.8189328
412	836.5315059
413	836.1464402
414	835.7199484
415	834.9694085
416	834.8033487
417	834.5781731
418	834.0647994
419	832.3771185
420	832.152816
421	831.6933809
422	831.2273646
423	829.5924523
424	829.3748463
425	829.1244191
426	828.1143802
427	826.7571086
428	826.4634445
429	825.2507847
430	824.7954003
431	824.6308872
432	823.6351503
433	822.8760294
434	822.6635624
435	821.9828509
436	821.4670797
437	820.8781765
438	820.6541303
439	820.1873886
440	819.8270103
441	819.5722612
442	819.2944398
443	819.0553871
444	818.8003085
445	817.8578512
446	817.327454
447	816.9039229
448	816.6361063
449	816.4832519
450	816.3423701
451	816.1228766
452	815.7534754
453	815.6140295
454	815.2307825
455	814.8320984
456	814.6799239
457	814.0461479
458	813.8242585
459	813.0178577
460	812.7093836
461	812.0649968
462	811.3035529
463	810.7898289
464	810.3146587
465	809.5771765
466	808.9164368
467	808.0592539
468	807.380729
469	807.2440684
470	806.6166321
471	806.4245174
472	806.1519692
473	805.3315245
474	804.4957519
475	804.365837
476	803.4964239
477	803.139099
478	803.0282477
479	802.3917056
480	801.96131
481	801.6737946
482	800.858766
483	800.579761
484	800.222021
485	799.1762181
486	798.4978844
487	798.0974699
488	797.7543989
489	797.5708043
490	797.440528
491	796.9321462
492	796.6125489
493	796.2814741
494	795.3262869
495	794.7949366
496	794.5663819
497	794.2844519
498	794.1476702
499	793.6136328
500	793.489592
501	792.2299262
502	792.0566497
503	791.8744975
504	791.7062493
505	791.2433186
506	790.7818589
507	790.5890939
508	790.2146037
509	789.2894739
510	789.1604056
511	788.7599313
512	788.2770267
513	788.121751
514	787.7570725
515	787.5990075
516	787.4766064
517	786.6383854
518	786.4092349
519	786.0422582
520	785.1797974
521	784.524422
522	784.2910426
523	784.0249532
524	783.6436507
525	782.8779294
526	782.419514
527	782.0784939
528	781.6669783
529	781.3089383
530	780.6618244
531	780.2125965
532	779.7672681
533	779.4246025
534	779.2645245
535	778.6807846
536	778.2998743
537	777.8749345
538	777.1035403
539	776.6926345
540	776.54752
541	775.9354131
542	774.9476803
543	774.3384206
544	773.8637563
545	773.7381394
546	773.0622708
547	772.5173886
548	771.9700545
549	771.0360035
550	770.8591973
551	770.3296551
552	769.8243207
553	768.9933929
554	768.6876029
555	768.1201722
556	767.582782
557	766.9488008
558	766.3025176
559	765.9335237
560	765.8164591
561	765.652579
562	764.9281365
563	764.4032873
564	763.8458933
565	763.0730792
566	762.9281289
567	762.5151211
568	762.1116007
569	761.9946164
570	761.8008391
571	761.5461583
572	760.7358895
573	760.0462659
574	759.7615687
575	759.2946741
576	758.8174271
577	758.2892386
578	758.1818099
579	757.7272002
580	757.6002544
581	757.4259562
582	757.0633555
583	756.5148761
584	756.2338968
585	755.9112421
586	755.6404982
587	755.4221141
588	754.7685302
589	754.3989538
590	754.2225489
591	753.8777028
592	753.2561975
593	752.7746447
594	752.6346261
595	752.483329
596	752.2783468
597	751.6232627
598	751.2324668
599	750.7879993
600	750.4643774
601	749.5740889
602	749.4008637
603	748.7076872
604	748.5455357
605	748.0559124
606	747.6838065
607	747.3293518
608	746.422996
609	746.2536665
610	745.7776331
611	745.4075236
612	744.9837839
613	744.1739917
614	743.9517928
615	743.5998288
616	743.4670767
617	743.1945396
618	742.3409654
619	742.2492667
620	741.8421014
621	741.4287711
622	741.0176853
623	740.8705436
624	740.6738102
625	740.5553346
626	740.3654237
627	740.0220626
628	739.140118
629	738.9002501
630	738.7630443
631	738.1217223
632	737.5623029
633	736.9511119
634	736.3408468
635	736.14463
